monitoring_location_id,datetime,characteristic,parameter_code,value,unit,fraction,detection_condition,qualifier,lab_name,priority_group,huc8
TCEQMAIN-10249,2006-04-13,Nitrogen,,0.88,mg/L,Total,,,,nitrogen,13090002
TCEQMAIN-10249,2006-08-09,Nitrogen,,0.83,mg/L,Total,,,,nitrogen,13090002
TCEQMAIN-10249,2006-11-07,Nitrogen,,1.27,mg/L,Total,,,,nitrogen,13090002
TCEQMAIN-10249,2007-02-08,Nitrogen,,1.91,mg/L,Total,,,,nitrogen,13090002
TCEQMAIN-10249,2007-04-17,Nitrogen,,0.96,mg/L,Total,,,,nitrogen,13090002
TCEQMAIN-10249,2007-08-01,Nitrogen,,0.58,mg/L,Total,,,,nitrogen,13090002
TCEQMAIN-10249,2007-10-18,Nitrogen,,0.53,mg/L,Total,,,,nitrogen,13090002
TCEQMAIN-10249,2008-02-12,Nitrogen,,0.96,mg/L,Total,,,,nitrogen,13090002
TCEQMAIN-10249,2008-06-26,Nitrogen,,0.49,mg/L,Total,,,,nitrogen,13090002
TCEQMAIN-10249,2009-05-26,Nitrogen,,0.67,mg/L,Total,,,,nitrogen,13090002
TCEQMAIN-10249,2009-08-18,Nitrogen,,0.56,mg/L,Total,,,,nitrogen,13090002
TCEQMAIN-10249,2010-02-10,Nitrogen,,1.81,mg/L,Total,,,,nitrogen,13090002
TCEQMAIN-10249,2010-05-25,Nitrogen,,0.95,mg/L,Total,,,,nitrogen,13090002
TCEQMAIN-10249,2010-06-07,Nitrogen,,1.49,mg/L,Total,,,,nitrogen,13090002
TCEQMAIN-10249,2011-05-26,Nitrogen,,0.85,mg/L,Total,,,,nitrogen,13090002
TCEQMAIN-10249,2011-07-13,Nitrogen,,1.57,mg/L,Total,,,,nitrogen,13090002
TCEQMAIN-10249,2011-11-02,Nitrogen,,1.38,mg/L,Total,,,,nitrogen,13090002
TCEQMAIN-10249,2012-02-22,Nitrogen,,1.27,mg/L,Total,,,,nitrogen,13090002
TCEQMAIN-10249,2012-05-30,Nitrogen,,1.55,mg/L,Total,,,,nitrogen,13090002
TCEQMAIN-10249,2012-08-22,Nitrogen,,1.5,mg/L,Total,,,,nitrogen,13090002
TCEQMAIN-10249,2012-11-28,Nitrogen,,1.67,mg/L,Total,,,,nitrogen,13090002
TCEQMAIN-10249,2013-06-19,Nitrogen,,0.54,mg/L,Total,,,,nitrogen,13090002
TCEQMAIN-10249,2013-08-29,Nitrogen,,0.7,mg/L,Total,,,,nitrogen,13090002
TCEQMAIN-10249,2013-11-12,Nitrogen,,1.22,mg/L,Total,,,,nitrogen,13090002
TCEQMAIN-10249,2014-07-02,Nitrogen,,1.48,mg/L,Total,,,,nitrogen,13090002
